"Path","Title","TitleLen","DescLen","Canonical","H1","Words"
"index.html","Cálculos Laborales: sueldo neto, finiquito y paro","49","305","https://calculoslaborales.es/","Calculadoras laborales en España sueldo neto, paro, finiquito y bajas","1160"
"blog/baja-voluntaria-como-comunicarla-plazo-preaviso-derechos.html","Baja voluntaria: cómo comunicarla, preaviso y qué pierdes (2026)","64","148","https://calculoslaborales.es/blog/baja-voluntaria-como-comunicarla-plazo-preaviso-derechos.html","Baja voluntaria: como comunicarla, plazo de preaviso y que pierdes","1274"
"blog/cambios-smi-2026.html","SMI 2026 en España: salario mínimo, nómina e impacto real","57","146","https://calculoslaborales.es/blog/cambios-smi-2026.html","SMI 2026: salario minimo actualizado a 1.260 EUR","1139"
"blog/como-pasar-de-sueldo-bruto-anual-a-neto-mensual-con-ejemplos-reales.html","Como pasar de sueldo bruto anual a neto mensual con ejemplos reales (2026)","74","170","https://calculoslaborales.es/blog/como-pasar-de-sueldo-bruto-anual-a-neto-mensual-con-ejemplos-reales.html","Como pasar de sueldo bruto anual a neto mensual con ejemplos reales","1382"
"blog/como-rellenar-el-modelo-145-paso-a-paso.html","Como rellenar el modelo 145 paso a paso (2026)","46","142","https://calculoslaborales.es/blog/como-rellenar-el-modelo-145-paso-a-paso.html","Como rellenar el modelo 145 paso a paso (2026)","1837"
"blog/como-revisar-una-nomina-paso-a-paso-sin-que-te-enganen.html","Como revisar una nomina paso a paso sin que te enganen (2026)","61","147","https://calculoslaborales.es/blog/como-revisar-una-nomina-paso-a-paso-sin-que-te-enganen.html","Como revisar una nomina paso a paso sin que te enganen","1322"
"blog/como-saber-si-tienes-derecho-a-paro-2026.html","Como saber si tienes derecho a paro en 2026: requisitos reales y errores comunes","80","157","https://calculoslaborales.es/blog/como-saber-si-tienes-derecho-a-paro-2026.html","Como saber si tienes derecho a paro en 2026","1387"
"blog/cuanto-paga-un-autonomo-seguridad-social-2026.html","Cuánto paga un autónomo a la Seguridad Social en 2026","53","150","https://calculoslaborales.es/blog/cuanto-paga-un-autonomo-seguridad-social-2026.html","Cuanto paga un autonomo a la Seguridad Social en 2026","1158"
"blog/cuanto-se-cobra-de-jubilacion-segun-los-anos-cotizados.html","Cuánto se cobra de jubilación según los años cotizados (2026)","61","161","https://calculoslaborales.es/blog/cuanto-se-cobra-de-jubilacion-segun-los-anos-cotizados.html","Cuanto se cobra de jubilacion segun los anos cotizados (2026)","1273"
"blog/diferencia-entre-finiquito-e-indemnizacion-con-ejemplos-reales.html","Diferencia entre finiquito e indemnizacion con ejemplos reales (2026)","69","159","https://calculoslaborales.es/blog/diferencia-entre-finiquito-e-indemnizacion-con-ejemplos-reales.html","Diferencia entre finiquito e indemnizacion con ejemplos reales","1288"
"blog/he-firmado-el-finiquito-puedo-reclamar-igual.html","He firmado el finiquito, puedo reclamar igual: cuando aun puedes revisar cantidades (2026)","90","158","https://calculoslaborales.es/blog/he-firmado-el-finiquito-puedo-reclamar-igual.html","He firmado el finiquito, puedo reclamar igual","1312"
"blog/incapacidad-permanente-total-cuanto-se-cobra-como-tramitar.html","Incapacidad permanente total: cuanto se cobra y como tramitarla (2026)","70","140","https://calculoslaborales.es/blog/incapacidad-permanente-total-cuanto-se-cobra-como-tramitar.html","Incapacidad permanente total: cuanto se cobra y como tramitarla (2026)","1479"
"blog/index.html","Blog de Cálculos Laborales - Noticias laborales y fiscales 2026","63","136","https://calculoslaborales.es/blog/","Blog laboral y fiscal","1365"
"blog/irpf-autonomos-retenciones-pagos-fraccionados-modelo-130.html","IRPF para autónomos: retenciones, modelo 130 y pagos fraccionados (2026)","72","162","https://calculoslaborales.es/blog/irpf-autonomos-retenciones-pagos-fraccionados-modelo-130.html","IRPF para autonomos: retenciones, modelo 130 y pagos fraccionados (2026)","1215"
